<RES>My countrymen and women of the radio audience Of the untold values of the radio , one is the great intimacy it has brought among our people.|Through its mysterious channels we come to wider acquaintance with surroundings and men.|The greatest strength of the radio is the intimacy of its listeners.| The great gift of the radio to all members of our community |8.074225324610271|8.455606898405858|3.9843176230698334
<RES>The first is that the domestic banks in the interior of the United States , and corporations , withdraw their money from the call market.|There has been a very great movement out of New York into the interior of the United States , as well as some movement out of New York into foreign countries.|The second is that the domestic banks in the United States, and corporations, withdraw their money from the call market.| The second is that the domestic banks in the United States , and corporations , withdraw their money from the call market |3.7117343160196037|9.18593089742296|2.4273909039775066
<RES>There has been a very great movement out of New York into the interior of the United States , as well as some movement out of New York into foreign countries.|The incidental result of that is to create a difficult situation in New York , but also to increase the available capital in the interior.|The American people have been very receptive to the idea that the United States can be the world's leading democracy, and that it is a great country.| The American people have been very re ##ceptive to the idea that the United States will become the world ' s largest economy , and that it is a world power |3.199033048518667|4.526507890118764|1.74383594962074
<RES>The incidental result of that is to create a difficult situation in New York , but also to increase the available capital in the interior.|In the interior there has been , in consequence , a tendency for interest rates to fall at once because of the unemployed capital brought back into interior points.|The result is that the city will be unable to afford the capital needed to maintain its existing infrastructure.| The result is that the state will be able to raise the available capital to build an an ##nex |3.8800760333971818|5.089152510050628|5.134671620309229
<RES>In the interior there has been , in consequence , a tendency for interest rates to fall at once because of the unemployed capital brought back into interior points.|Perhaps the situation might be clearer on account of its parallel with the last very great crisis , 1907 1908.|The unemployment rate is therefore not as high as the rate of interest rate depreciation.| The interest rate is about twice as high as the rate of the previous de ##p - ##rous |4.7744540329850675|5.5791095686901|8.305970488836923
<RES>Perhaps the situation might be clearer on account of its parallel with the last very great crisis , 1907 1908.|In that crash the same drain of money immediately took place into the interior.|The situation is not so much that the government is in crisis as that it is in crisis.| The situation is not much worse when a country is in crisis than if it is not elsewhere |6.444472827373543|5.4269383566534986|2.475846789578638
<RES>In that crash the same drain of money immediately took place into the interior.|In that case there was no Federal Reserve System.|The car was then towed away.| He later died in a hospital |21.1515659614403|30.613434005925445|8.433530615026774
<RES>In that case there was no Federal Reserve System.|There was no way to acquaint of capital movement over the country , and the interest rates ran up to 300 percent.|The Fed was created by the Federal Reserve Act of 1913, and the Federal Reserve System was created by the Federal Reserve Act of 1913.| The system was created by the Federal Reserve Act of 1917 , and the Federal Reserve System was created by the Federal Reserve Act of 1917 |12.112730091837607|19.493937158434694|3.5321710263086454
<RES>There was no way to acquaint of capital movement over the country , and the interest rates ran up to 300 percent.|The result was to bring about a monetary panic in the entire country.|The government was forced to raise the interest rates, and the government's share in the debt was reduced by a third.| The government also had to raise the interest rate , and the government ' s share of the debt was reduced by 30 percent |5.733071720071244|6.955199322430865|2.7160031314182436
<RES>The result was to bring about a monetary panic in the entire country.|Here with the Federal Reserve System and the activity of the Board , and the ability with which the situation has been handled , there has been a complete isolation of the stock market phenomenon from the rest of the business phenomena in the country.|The government had to cut its budget, which was then reduced by $3 billion.| The aim was to reduce the deficit , which was reduced up to 10 % annually |3.618095131134471|54.773225274857225|4.03878634710611
<RES>Here with the Federal Reserve System and the activity of the Board , and the ability with which the situation has been handled , there has been a complete isolation of the stock market phenomenon from the rest of the business phenomena in the country.|The Board , in cooperation with the banks in New York , has made ample capital available for the call market in substitution of the withdrawals.|The stock market has been isolated from the rest of the business phenomena by the Federal Reserve System.| The stock market phenomenon is separate from the rest of the business phenomena in the Federal Reserve Reserve |2.738227647997038|3.0624408756767663|1.8618355176258001
<RES>The Board , in cooperation with the banks in New York , has made ample capital available for the call market in substitution of the withdrawals.|This has resulted in a general fall of interest rates , not only in the interior , but also in New York , as witness the reduction of the discount rate.|The call market has also been able to provide liquidity for the financial markets by providing liquidity to the banks and other financial institutions.| The Financial Sector is also being used to provide liquid ##ity to the financial institutions by providing liquid ##ity to the banks and other financial institutions |3.631100032661186|4.272193760984507|5.301738533437204
<RES>This has resulted in a general fall of interest rates , not only in the interior , but also in New York , as witness the reduction of the discount rate.|So that instead of having a panic rise in interest rates with monetary rise following it , we have exactly the reverse phenomenon we have a fallen interest p.|The fall in interest rates in the US and the UK has been accompanied by a decline in investment in the UK and in the US.| The drop in interest rates in the US and the UK has been caused by the increases in inflation in the UK and in continental Europe |2.878584785606298|3.0246339193578256|1.7189909079709276
<RES>So that instead of having a panic rise in interest rates with monetary rise following it , we have exactly the reverse phenomenon we have a fallen interest p.|368 rate.|The problem with this theory is that it assumes that the Fed will not have to raise interest rates at the end of the year to keep the economy growing.| The problem with this phenomenon is that it means that the government does not have to raise interest rates at the end of the year to keep the economy stable |7.763931037165773|3.3328410757898546|1.9329494854534894
<RES>368 rate.|That is the normal thing to happen when capital is withdrawn from the call market through diminution in values.|The new system will allow users to choose between the two types of data, including the number of times they've used a device, and the number of times they've used a phone.| The new system will allow users to count all the different types of devices , including the number of times they ' ve used a device , and the number of times they ' ve used a device |13.066141316339477|11.857012492961456|4.717786021504212
<RES>That is the normal thing to happen when capital is withdrawn from the call market through diminution in values.|The ultimate result of it is a complete isolation of the stock market phenomenon from the general business phenomenon.|It is the normal thing to happen when the market is devalued by the value of capital.| That is the normal thing to happen when the market is de ##graded , through the withdrawal of capital |5.7970124857792|6.036666285756974|11.906169863914641
<RES>The ultimate result of it is a complete isolation of the stock market phenomenon from the general business phenomenon.|In other words , the financial world is functioning entirely normal and rather more easily today than it was 2 weeks ago , because interest rates are less and there is more capital available.|The stock market is a phenomenon that is not confined to the stock market.| The stock market is a phenomenon that is not present in the general business |3.95750607190765|8.094378708367916|3.4423087582788545
<RES>In other words , the financial world is functioning entirely normal and rather more easily today than it was 2 weeks ago , because interest rates are less and there is more capital available.|The effect on production is purely psychological.|But the real problem is that there is a very big gap between the financial world and the rest of the world.| But the real problem is that there is a very different relationship between the financial world and the rest of the world |6.18883949284461|3.9993048470722727|2.254418928033105
<RES>The effect on production is purely psychological.|So far there might be said to be from such a shock some tendency on the part of people through alarm to decrease their activities , but there has been no cancellation of any orders whatsoever.|The effect on the market is not so much psychological but psychological, and the effect on the market is not so much psychological but psychological.| The effect of the production is not so much psychological as physical , but the effect of the production is not so much physical in itself |5.585551941255462|19.50854575566386|3.4423087582788545
<RES>So far there might be said to be from such a shock some tendency on the part of people through alarm to decrease their activities , but there has been no cancellation of any orders whatsoever.|There has been some lessening of buying in some of the luxury contracts , but that is not a phenomenon itself.|The first time we heard of it we were very surprised.| The old man was still smiling , but he said nothing |3.4050728602654994|4.378903782887359|2.262817714747625
<RES>There has been some lessening of buying in some of the luxury contracts , but that is not a phenomenon itself.|The ultimate result of the normal course of things would be that with a large release of capital from the speculative market there will be more capital available for the bond and mortgage market.|"We're not going to be able to do that in a few years," he said.| " I have only been hoping to be able to get out for a short time , " he said |3.174864939976331|8.761615922081782|2.217461196961469
<RES>The ultimate result of the normal course of things would be that with a large release of capital from the speculative market there will be more capital available for the bond and mortgage market.|That market has been practically starved for the last 4 or 5 months.|The fact that the market has been able to hold the price of the bonds and mortgage market at the same time, as well as the fact that the price has risen in the past year, means that there is a greater chance that a large number of investors are going to be buying the bonds.| The fact that the government has been able to raise the prices of the bond and mortgage market at the same time , as well does the fact that the price has risen over the past year , means that there is a good chance that a large number of investors are able to buy back the bond |4.606360402046098|3.3760109892842145|1.5768713984235498
<RES>That market has been practically starved for the last 4 or 5 months.|There has been practically no or very little at least of mortgage or bond money available , practically no bond issues of any consequence.|The market is now at $3,000,000.| This number is around 100 , 000 in a typical year |6.440241976956768|149.91906717418092|4.247770785646392
<RES>There has been practically no or very little at least of mortgage or bond money available , practically no bond issues of any consequence.|One result has been to create considerable reserves of business.|The government is not doing anything to help the banks, they're just trying to keep the banks afloat, and the government is doing nothing.| The government is not doing anything to help these people , they ' re just trying to keep the country a ##f ##loat , and the government is doing it |6.033212346454321|6.283141668050987|8.064382796635229
<RES>One result has been to create considerable reserves of business.|A number of States have not been able to place their bonds for construction a number of municipalities with bond issues have been held up because of the inability to put them out at what they considered fair rates.|The first is that the number of businesses has been increasing.| The result is that all other economic activity increases very significantly |4.290964348323848|20.398759313590404|5.858803540820112
<RES>A number of States have not been able to place their bonds for construction a number of municipalities with bond issues have been held up because of the inability to put them out at what they considered fair rates.|There are a great number of business concerns that would proceed with their activities in expansion through mortgage and bond money which have had to delay.|In the case of the State of New Hampshire, which has been able to place its bonds on a fair basis for the past two years, there is no way for the bond issue to be held up because the State of New Hampshire has not yet put out a bond issue.| In the case of the State of New Hampshire , which has been unable to place its bonds at a fair rate for the past five years , there is no reason for a bond issue to be held up because the State of New Hampshire has not yet been issued a bond issue |2.7400258450818757|3.0590975527415165|1.4240115091990944
<RES>There are a great number of business concerns that would proceed with their activities in expansion through mortgage and bond money which have had to delay.|All of which comprises a very substantial reserve in the country at the present time.|The Government has been very clear that it wants to see more investment and more investment from overseas.| The government has also made clear that it intends to take time to see how they will invest |4.616411479311786|4.213130497234962|2.1799302513352306
<RES>All of which comprises a very substantial reserve in the country at the present time.|The normal result will be for the mortgage and bond market to spring up again and those reserves to come in with increased activities.|The Reserve Bank of India has also made a large amount of deposits, which is a good thing.| The Forest Department , which has overall responsibility for a number of forest reserves is also a a ##cademies |5.078693893823135|12.266505471898608|12.1827553714691
<RES>The normal result will be for the mortgage and bond market to spring up again and those reserves to come in with increased activities.|The sum of it is , therefore , that we have gone through a crisis in the stock market , but for the first time in history the crisis has been isolated to the stock market itself.|The market will then have a chance to adjust its expectations and to adjust its expectations to meet the demand.| The government will also create a program to help reduce debt and encourage investment in banks to meet consumer needs |3.3468264914735855|5.078873708971114|2.568670990621799
<RES>The sum of it is , therefore , that we have gone through a crisis in the stock market , but for the first time in history the crisis has been isolated to the stock market itself.|It has not extended into either the production activities of the country or the financial fabric of the country , and for that I think we may give the major credit to the constitution of the Federal Reserve System.|This is not to say that we are not in crisis, but that we are in a crisis of the stock market itself.| This is not to say that we have a financial crisis , but why are we not a crisis in the stock market itself ?|2.6821059987749813|5.272018147725379|2.0033832800559233
<RES>It has not extended into either the production activities of the country or the financial fabric of the country , and for that I think we may give the major credit to the constitution of the Federal Reserve System.|And that is about a summary of the whole situation as it stands at this moment.|The Federal Reserve System has not extended into either the production activities of the country or the financial fabric of the country, and for that I think we may give the major credit to the constitution of the Federal Reserve System.| The Federal Reserve System has not extended either into the production activities of the country or the financial fabric of the country , and so therefore I think we may give the major credit to the constitution of the Federal Reserve System |3.48846610341624|3.4890271403824205|1.544141358936646
<RES>And that is about a summary of the whole situation as it stands at this moment.|.|In the end, it is a question of how to deal with a situation where the police are trying to take over the country, and that is a problem that we need to address.| In the end , it is a summary of how we deal with the situation : the people who want to take over our own lives and to solve the problem that we want to solve |24.387764335761574|7.298461025187536|2.072548270514372
<RES>.|We are dealing here with a psychological situation to a very considerable degree.|"I'm not sure how you can say that," she said.| " I am still not sure if I can do it , " he said |42.527682230447006|433.38776658600557|15.138523463771621
<RES>We are dealing here with a psychological situation to a very considerable degree.|It is a question of fear.|It is not just that we are in a situation of a crisis.| It is not surprising that we are in a very secure hiding place |37.71209263369215|16.94276095153116|5.473931339134399
<RES>It is a question of fear.|We have had a collapse in the stock market , out of which a good many people have lost money , and a lot of people who could not afford to , and a lot of unfortunate people have been brought in , the effect of which in the American mind creates an undue state of alarm , because our national thinking naturally goes back to previous occasions when events of that character have had a very considerable bearing upon the business situation , and in its final interpretation it is employment.|I am a very fearful man, and I am afraid of the future.| I am a brave young man , but I am afraid of the unknown |2.1783318701955063|90.41453335406727|5.012712669592872
<RES>We have had a collapse in the stock market , out of which a good many people have lost money , and a lot of people who could not afford to , and a lot of unfortunate people have been brought in , the effect of which in the American mind creates an undue state of alarm , because our national thinking naturally goes back to previous occasions when events of that character have had a very considerable bearing upon the business situation , and in its final interpretation it is employment.|Now , a great many people lifted their standards of living , and naturally the effect of such a thing tends to decrease consumption particularly for luxury and semi luxury , and those trades are no doubt still affected.|It is the same with our economic system.| He did some editorial work for The Times |1.8913659619925611|2.2284889869412714|1.5980973685083544
<RES>Now , a great many people lifted their standards of living , and naturally the effect of such a thing tends to decrease consumption particularly for luxury and semi luxury , and those trades are no doubt still affected.|But this occasion so far differs from all others in that the credit situation in the country is entirely isolated from it due to the Federal Reserve and the banks , and there is no credit consideration involved.|In the case of luxury, the effect is very small, and it is not a matter of whether it is good or bad, but whether or not the trade is good or bad.| In the case of luxury , the trade is not good , and it is only a matter of whether it is good or bad bad or whether or not the trade is good or bad |2.7644106453616453|4.610662026366526|1.8598722019531273
<RES>But this occasion so far differs from all others in that the credit situation in the country is entirely isolated from it due to the Federal Reserve and the banks , and there is no credit consideration involved.|But the natural recovery of increased interest rates by the withdrawal of capital from speculative securities takes that capital ultimately back into industry and commerce.|In fact, it is the Federal Reserve which is responsible for the credit situation of the country, and the banks which are responsible for the credit situation of the country.| In fact , it is the Federal Reserve which is responsible for the credit situation of the country , and the banks which are responsible for the credit consideration in the country |3.954525127581393|5.69515898585012|2.1778607365190927
<RES>But the natural recovery of increased interest rates by the withdrawal of capital from speculative securities takes that capital ultimately back into industry and commerce.|It is ordinarily the tendency of industrial leaders and everyone else to sit back to see what happens and to be a little more cautious in his business than he might otherwise have been that we have to deal with.|The Fed has been able to do this because of the Federal Reserve's policy of keeping rates low for the foreseeable future.| The government was not able to prevent this by changing the Federal Reserve ' s policy of keeping prices low for the fore ##see ##nay ##ability |3.7998561185518125|5.833182176296714|8.407032963064268
<RES>It is ordinarily the tendency of industrial leaders and everyone else to sit back to see what happens and to be a little more cautious in his business than he might otherwise have been that we have to deal with.|We have also to deal naturally with some unemployment in the semi necessity trades.|But I think that the way to deal with this is to make it more difficult to do business with people who are not in the business to do business with you.| But I think that the way to get to him is to make it more difficult to do business with people who are not in in mood to do business with him |3.5449507537913774|2.6813547339263066|2.0461582678406867
<RES>We have also to deal naturally with some unemployment in the semi necessity trades.|But the real problem and the interpretation of it is one of maintenance of employment.|The problem is that the unemployment rate is so low that we have to do some work to make up for the lack of jobs.| The problem is that the unemployment rate is so high we will have to do something drastic to make up for the lack of it |13.038168671454168|7.292749679764923|3.1881452626314752
<RES>But the real problem and the interpretation of it is one of maintenance of employment.|This is not a question of bolstering stock markets or stock prices or anything of that kind.|The fact that the labour force is growing is a problem for the government, which is trying to get its way in the economy.| The fact that the labor force is weak is a problem for the state and it is necessary to improve its position in the economy |12.388692868083169|15.864302582051216|3.7296609069935784
<RES>This is not a question of bolstering stock markets or stock prices or anything of that kind.|We are dealing with the vital question of maintaining employment in the United States and consequently the comfort and standard of living of the people and their ability to buy goods and proceed in the normal course of their lives.|This is about making sure that people are aware that the economy is going to be better off than they have been.| It is just a fact that we exist and that our existence has made us much more stronger than we have been |2.9160358828964945|4.418482592838306|2.025935000181196
