Sim_index	Actual	gpt2_tuned	xlnet	lstm_attention	gpt2_untuned_bert	gpt2_untuned
1191	3.0	4.0	3.0	1.0	5.0	4.0
430	4.0	4.0	3.0	2.0	3.0	3.0
916	4.0	3.0	4.0	1.0	4.0	4.0
739	4.0	4.0	3.0	3.0	3.0	5.0
2262	3.0	5.0	3.0	2.0	3.0	4.0
1596	2.0	3.0	5.0	2.0	2.0	3.0
1501	3.0	4.0	4.0	1.0	2.0	4.0
0	4.0	4.0	3.0	3.0	4.0	4.0
1903	4.0	1.0	2.0	1.0	1.0	3.0
430	3.0	2.0	2.0	1.0	1.0	2.0
934	2.0	1.0	4.0	1.0	3.0	3.0
2139	1.0	1.0	4.0	2.0	1.0	2.0
2550	1.0	2.0	2.0	1.0	1.0	1.0
766	5.0	2.0	1.0	1.0	1.0	1.0
2262	3.0	2.0	3.0	1.0	3.0	3.0
832	4.0	3.0	1.0	1.0	1.0	4.0
1501	4.0	4.0	3.0	1.0	2.0	2.0
1195	3.0	1.0	3.0	1.0	3.0	2.0
1018	5.0	1.0	3.0	3.0	4.0	5.0
2168	5.0	3.0	5.0	4.0	3.0	5.0
1937	3.0	3.0	3.0	2.0	3.0	3.0
934	4.0	4.0	3.0	1.0	4.0	4.0
860	2.0	4.0	2.0	3.0	4.0	5.0
766	4.0	3.0	3.0	1.0	1.0	3.0
2262	3.0	1.0	2.0	1.0	3.0	4.0
1596	2.0	2.0	5.0	2.0	1.0	1.0
832	5.0	4.0	3.0	3.0	3.0	4.0
0	1.0	2.0	4.0	3.0	3.0	4.0
1903	3.0	4.0	2.0	1.0	2.0	2.0
1191	3.0	2.0	3.0	1.0	5.0	4.0
934	4.0	3.0	2.0	2.0	4.0	4.0
2638	4.0	3.0	4.0	2.0	2.0	4.0
916	1.0	2.0	4.0	1.0	5.0	5.0
860	2.0	3.0	1.0	1.0	4.0	4.0
690	4.0	2.0	3.0	2.0	2.0	3.0
766	4.0	2.0	4.0	1.0	3.0	3.0
2262	3.0	5.0	4.0	1.0	2.0	2.0
1596	3.0	4.0	4.0	2.0	1.0	1.0
2168	3.0	5.0	3.0	1.0	2.0	4.0
1937	4.0	4.0	2.0	1.0	3.0	4.0
278	4.0	5.0	3.0	1.0	5.0	5.0
2139	5.0	2.0	4.0	3.0	3.0	4.0
1258	4.0	5.0	5.0	1.0	4.0	4.0
916	2.0	5.0	3.0	1.0	4.0	4.0
860	2.0	3.0	2.0	1.0	4.0	4.0
1078	5.0	5.0	4.0	3.0	4.0	4.0
1195	4.0	3.0	5.0	1.0	3.0	3.0
1612	4.0	1.0	2.0	2.0	4.0	2.0
2606	5.0	5.0	2.0	1.0	2.0	2.0
1009	3.0	4.0	5.0	3.0	2.0	5.0
2631	2.0	5.0	4.0	1.0	5.0	3.0
2208	5.0	2.0	3.0	1.0	3.0	3.0
2585	3.0	2.0	4.0	1.0	3.0	3.0
2272	1.0	2.0	1.0	1.0	1.0	4.0
1931	4.0	3.0	5.0	1.0	1.0	1.0
2216	5.0	3.0	2.0	1.0	2.0	3.0
1914	4.0	5.0	2.0	2.0	3.0	3.0
2199	5.0	2.0	3.0	1.0	3.0	3.0
2087	4.0	2.0	3.0	1.0	3.0	3.0
1931	2.0	3.0	3.0	1.0	1.0	2.0
1914	4.0	4.0	4.0	1.0	4.0	3.0
631	3.0	2.0	2.0	1.0	3.0	1.0
1177	4.0	2.0	3.0	1.0	1.0	3.0
296	5.0	1.0	4.0	1.0	2.0	3.0
1937	2.0	2.0	3.0	1.0	3.0	2.0
1155	3.0	3.0	2.0	1.0	2.0	3.0
366	3.0	4.0	5.0	2.0	5.0	5.0
2199	5.0	2.0	4.0	1.0	4.0	5.0
2446	4.0	3.0	5.0	1.0	4.0	3.0
1155	4.0	4.0	3.0	1.0	5.0	4.0
1102	4.0	1.0	3.0	1.0	2.0	2.0
1914	5.0	3.0	4.0	1.0	3.0	4.0
1177	5.0	4.0	2.0	1.0	2.0	5.0
2329	4.0	3.0	2.0	3.0	4.0	2.0
2585	2.0	4.0	4.0	2.0	3.0	4.0
1931	4.0	3.0	2.0	2.0	1.0	4.0
1102	5.0	3.0	3.0	4.0	3.0	3.0
2199	3.0	3.0	5.0	2.0	2.0	3.0
1972	5.0	4.0	3.0	1.0	4.0	5.0
1009	3.0	4.0	5.0	2.0	3.0	4.0
1937	4.0	5.0	3.0	2.0	4.0	4.0
2087	3.0	4.0	3.0	1.0	4.0	4.0
2216	5.0	4.0	4.0	1.0	4.0	3.0
1829	2.0	2.0	4.0	2.0	2.0	3.0
1155	3.0	2.0	3.0	1.0	4.0	4.0
1720	3.0	1.0	1.0	5.0	2.0	5.0
1914	3.0	5.0	5.0	1.0	5.0	4.0
2199	1.0	4.0	3.0	1.0	3.0	3.0
1448	4.0	1.0	5.0	1.0	2.0	2.0
2606	2.0	5.0	5.0	1.0	2.0	5.0
2631	2.0	3.0	5.0	1.0	4.0	4.0
1829	2.0	1.0	3.0	1.0	2.0	4.0
366	3.0	2.0	5.0	1.0	4.0	5.0
2606	5.0	3.0	3.0	2.0	3.0	2.0
1009	1.0	1.0	2.0	2.0	2.0	3.0
2446	3.0	1.0	5.0	2.0	2.0	1.0
2272	1.0	2.0	5.0	1.0	1.0	2.0
631	1.0	4.0	1.0	1.0	1.0	1.0
296	2.0	3.0	3.0	2.0	2.0	3.0
2631	2.0	3.0	4.0	3.0	4.0	4.0
1829	2.0	3.0	3.0	1.0	3.0	3.0
1931	3.0	4.0	2.0	3.0	3.0	4.0
1720	2.0	3.0	4.0	3.0	2.0	4.0
2329	5.0	3.0	1.0	1.0	2.0	4.0
2208	1.0	2.0	4.0	1.0	1.0	1.0
119	5.0	2.0	3.0	1.0	3.0	2.0
2087	3.0	1.0	3.0	1.0	3.0	2.0
1931	5.0	2.0	2.0	1.0	1.0	1.0
1829	3.0	2.0	4.0	2.0	3.0	3.0
1759	3.0	3.0	1.0	2.0	4.0	5.0
2087	2.0	5.0	4.0	1.0	4.0	4.0
631	5.0	4.0	2.0	2.0	2.0	3.0
2184	4.0	5.0	3.0	2.0	3.0	5.0
38	2.0	4.0	5.0	1.0	3.0	4.0
44	3.0	3.0	4.0	1.0	2.0	3.0
53	5.0	1.0	2.0	1.0	4.0	2.0
57	3.0	4.0	3.0	1.0	4.0	5.0
75	4.0	3.0	4.0	1.0	1.0	1.0
119	1.0	2.0	4.0	2.0	4.0	2.0
137	5.0	2.0	3.0	2.0	2.0	3.0
1759	5.0	2.0	1.0	2.0	4.0	4.0
142	5.0	1.0	3.0	1.0	2.0	3.0
201	5.0	4.0	4.0	2.0	3.0	1.0
38	4.0	3.0	4.0	2.0	3.0	5.0
55	3.0	3.0	4.0	1.0	2.0	5.0
57	1.0	4.0	2.0	2.0	2.0	2.0
130	5.0	5.0	5.0	1.0	2.0	2.0
1759	4.0	5.0	1.0	1.0	5.0	3.0
44	2.0	2.0	2.0	2.0	1.0	1.0
119	2.0	4.0	5.0	3.0	2.0	2.0
125	3.0	2.0	2.0	2.0	3.0	5.0
119	2.0	4.0	5.0	3.0	2.0	2.0
201	2.0	2.0	2.0	3.0	1.0	1.0
38	5.0	5.0	5.0	1.0	3.0	4.0
74	5.0	2.0	4.0	1.0	3.0	5.0
119	4.0	1.0	2.0	3.0	4.0	2.0
137	5.0	5.0	5.0	5.0	3.0	5.0
142	4.0	2.0	4.0	1.0	3.0	5.0
38	5.0	4.0	5.0	2.0	4.0	4.0
57	2.0	5.0	4.0	2.0	5.0	4.0
71	4.0	5.0	4.0	4.0	5.0	3.0
132	5.0	4.0	5.0	1.0	4.0	5.0
1759	5.0	1.0	2.0	2.0	5.0	5.0
